LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,def_03ya,def_05ya,min_05y_all,min_03y_all,min_05y_no_GFC,min_03y_no_GFC,def_03ya_no_GFC,def_05ya_no_GFC
AUS,GGNLEND,TOT,PC_GDP,A,2017,1.23788246,NA,FALSE,-1.23788246,1.147682361,2.4691056714,1.23788246,1.23788246,1.23788246,1.23788246,1.147682361,2.4691056714
AUT,GGNLEND,TOT,PC_GDP,A,1998,2.696226841,NA,FALSE,-2.696226841,2.622634898,2.9552445742,NA,2.575791199,NA,2.575791199,2.622634898,2.9552445742
BEL,GGNLEND,TOT,PC_GDP,A,2015,2.413670796,NA,FALSE,-2.413670796,2.6108218633333333,2.3296613368,2.413670796,2.413670796,-0.239580626,1.09534487,2.6108218633333333,1.9228547254
BRA,GGNLEND,TOT,PC_GDP,A,2016,7.152042452,NA,FALSE,-7.152042452,7.322185876333333,6.794419614400001,2.317914081,5.87713726,2.740302117,5.87713726,7.322185876333333,6.794419614400001
CAN,GGNLEND,TOT,PC_GDP,A,2018,-0.275954119,NA,FALSE,0.275954119,-0.23428202766666673,2.0827021024,-0.275954119,-0.275954119,-0.275954119,-0.275954119,-0.23428202766666664,2.0827021024
CHE,GGNLEND,TOT,PC_GDP,A,1998,1.303451839,NA,FALSE,-1.303451839,1.7337743863333335,1.3865136346,NA,1.303451839,NA,1.303451839,1.7337743863333335,1.3865136346
CHL,GGNLEND,TOT,PC_GDP,A,2016,2.636673892,NA,FALSE,-2.636673892,2.4912196976666667,2.1215101562000003,-0.542586918,1.512796273,-7.739157796,1.512796273,2.4912196976666663,2.1215101562000007
CHN,GGNLEND,TOT,PC_GDP,A,2000,7.80029974,NA,FALSE,-7.80029974,6.932867739,6.0756556033999995,2.479547119,4.869275079,2.479547119,4.869275079,6.932867739,6.0756556033999995
COL,GGNLEND,TOT,PC_GDP,A,2017,4.84143444,NA,FALSE,-4.84143444,4.806026255666667,4.3115952722,1.527112015,3.147166866,0.455772064,3.147166866,4.806026255666667,4.3115952722
CRI,GGNLEND,TOT,PC_GDP,A,2017,2.888096088,NA,FALSE,-2.888096088,2.719313774333333,2.8930534708000004,1.410251919,2.302226618,1.410251919,2.302226618,2.719313774333333,2.8930534708000004
CZE,GGNLEND,TOT,PC_GDP,A,2001,5.759548002,NA,FALSE,-5.759548002,5.2288484466666665,5.1345465284,3.128163861,3.128163861,3.128163861,3.128163861,5.2288484466666665,5.1345465284
DEU,GGNLEND,TOT,PC_GDP,A,2003,3.704201088,NA,FALSE,-3.704201088,3.6377842119999997,3.4516468243999996,1.584664476,3.025444871,1.584664476,3.025444871,3.6377842119999997,3.4516468243999996
DNK,GGNLEND,TOT,PC_GDP,A,1998,0.38853696,NA,TRUE,-0.38853696,0.239965568,0.2630312642,NA,0.38853696,NA,0.38853696,0.239965568,0.2630312642
EA,GGNLEND,TOT,PC_GDP,A,2003,3.092381764,NA,FALSE,-3.092381764,2.877187808666667,2.6361066539999998,1.272744533,1.957612465,1.272744533,1.957612465,2.877187808666667,2.6361066539999998
ESP,GGNLEND,TOT,PC_GDP,A,2015,5.176922577,NA,FALSE,-5.176922577,5.132497479,5.0915391392,5.176922577,5.176922577,-2.124079644,4.572251048,5.132497479,4.598802781
EST,GGNLEND,TOT,PC_GDP,A,2000,0.06796365,NA,FALSE,-0.06796365,1.055240952,0.7011690918,-2.123909586,0.06796365,-2.123909586,0.06796365,1.055240952,0.7011690918
